artist_name,track_name,track_id,track_popularity,artist_id,artist_followers,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
J. Cole,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,77,6l3HvQ5sa6mXTsMTB19rO5,18392617,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",85,0.597,0.587,7.0,-7.026,0.0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802.0
Carolina Gaitán - La Gaita,We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,78,29PgYEggDV3cDP9QYTogwv,46900,[],61,0.577,0.45,0.0,-8.516,0.0,0.0834,0.357,0.0,0.111,0.83,205.863,216120.0
Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,81,06HL4z0CvFAxyc27GXpf02,62572904,['pop'],100,0.583,0.67,8.0,-7.289,1.0,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433.0
Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,78,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605.0
Ivan Cornejo,Está Dañada,6G2xXQRSZlEzYsUEb3uvuR,76,6PH3FLQAxtqYy46Zv08bpV,651648,"['nueva musica mexicana', 'sad sierreno']",75,0.405,0.565,1.0,-9.266,0.0,0.0372,0.38,0.0195,0.107,0.166,159.892,214149.0
Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,82,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.695,0.575,10.0,-6.334,0.0,0.116,0.198,0.0,0.0614,0.699,163.929,173160.0
Sleep Sleep Sleep,White Noise Waterfall,5WkRINJDHP7zdAo45F1bJb,80,1OqVbmth0QR4OXPVPmIEyi,640,['white noise'],63,0.188,0.00481,3.0,-23.892,0.0,0.0575,0.131,0.352,0.13,0.0388,115.759,163506.0
Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,84,64KEffDW9EtZ1y2vBYgq8T,34549823,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",82,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983.0
Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,84,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.395,0.443,6.0,-9.72,1.0,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933.0
Cafuné,Tek It,751srcHf5tUqcEa9pRCQwP,78,581C5Qwl87TskfBEzuoisu,119694,['brooklyn indie'],67,0.423,0.913,8.0,-5.354,1.0,0.0655,6.53e-05,0.0,0.269,0.596,146.995,191823.0
